sku;base_image;small_image;store_view_code;attribute_set_code;product_type;categories;product_websites;name;description;short_description;weight;product_online;tax_class_name;visibility;price;special_price;special_price_from_date;special_price_to_date;url_key;meta_title;meta_keywords;meta_description;created_at;updated_at;new_from_date;new_to_date;display_product_options_in;map_price;msrp_price;map_enabled;gift_message_available;custom_design;custom_design_from;custom_design_to;custom_layout_update;page_layout;product_options_container;msrp_display_actual_price_type;country_of_manufacture;additional_attributes;qty;out_of_stock_qty;use_config_min_qty;is_qty_decimal;allow_backorders;use_config_backorders;min_cart_qty;use_config_min_sale_qty;max_cart_qty;use_config_max_sale_qty;is_in_stock;notify_on_stock_below;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;website_id;deferred_stock_update;use_config_deferred_stock_update;related_skus;crosssell_skus;upsell_skus;hide_from_product_page;custom_options;bundle_price_type;bundle_sku_type;bundle_price_view;bundle_weight_type;bundle_values;associated_skus
2;http://static.aptekagemini.pl/media/products/6_/1_/4_/614c9b939818bf7a54aec9136281cd57/images/thumbnail/large_1503670013apteka_internetowa_gemini_actiferol_fe_30mg_30_kapsu-ek.jpg;http://static.aptekagemini.pl/media/products/6_/1_/4_/614c9b939818bf7a54aec9136281cd57/images/thumbnail/large_1503670013apteka_internetowa_gemini_actiferol_fe_30mg_30_kapsu-ek.jpg;;Default;simple;Default Category/układ krążenia/niedobory żelaza;base;Actiferol Fe 30mg, 30 kapsułek;Actiferol Fe zawiera opatentowaną formę żelaza poddaną mikronizacji i emulgacji. Dzięki mikronizacji, czyli dużemu rozdrobnieniu, przyswajalność żelaza z pirofosforanu żelazowego jest dwukrotnie wyższa - co potwierdzają badania naukowe. Żelazo zawarte w produkcie uwalnia się w jelitach, a nie w żołądku, dzięki temu nie odczuwa się dolegliwości ze strony przewodu pokarmowego. Nie barwi zębów i nie daje metalicznego posmaku. Posiada  certyfikat bezpieczeństwa GRAS (Generally Recognised As Safe).;;1;1;Taxable Goods;Catalog, Search;23.97;;;;2;Actiferol Fe 30mg, 30 kapsułek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
3;http://static.aptekagemini.pl/media/products/1_/4_/6_/1462775c1d00cd1ae9a7a5a/images/thumbnail/large_1498135330apteka_internetowa_gemini_actisoftin_krem_na_zajady_8g.jpg;http://static.aptekagemini.pl/media/products/1_/4_/6_/1462775c1d00cd1ae9a7a5a/images/thumbnail/large_1498135330apteka_internetowa_gemini_actisoftin_krem_na_zajady_8g.jpg;;Default;simple;Default Category/problemy skórne/zajady;base;Actisoftin, krem na zajady, 8g;Actisoftin krem to starannie dobrana kompozycja składników dla osób mających problem z zajadami. Dzięki zawartości wyciągu z Onopordum acanthium stymuluje rekonstrukcję skóry w kącikach ust, wykazując działanie naprawcze i intensywnie regenerujące. W skład kremu wchodzi również wyciąg z wąkrotki azjatyckiej, który odżywia i wygładza skórę poprawiając jej ogólny wygląd i kondycję. Zawarty w preparacie wyciąg z kasztanowca wpływa korzystnie na szczelność naczynek, redukuje zaczerwienienie i łagodzi podrażnienie. Pantenol działa kojąco, nadaje skórze elastyczność i miękkość. W skład kremu wchodzi także kompleks nawilżający (Comlex 2 – Moisturizing), który zapewnia prawidłowe nawilżenie, natłuszczenie oraz tworzy barierę ochronną w kącikach ust, chroniąc skórę przed szkodliwym działaniem czynników zewnętrznych.;;1;1;Taxable Goods;Catalog, Search;10.89;;;;3;Actisoftin, krem na zajady, 8g;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
4;http://static.aptekagemini.pl/media/products/e_/e_/2_/ee224d7a7ddef6869fbe16641b6acf85/images/thumbnail/large_1491294798apteka_internetowa_gemini_activlab_green_fibre_naturalny_b-onnik_300g.jpg;http://static.aptekagemini.pl/media/products/e_/e_/2_/ee224d7a7ddef6869fbe16641b6acf85/images/thumbnail/large_1491294798apteka_internetowa_gemini_activlab_green_fibre_naturalny_b-onnik_300g.jpg;;Default;simple;Default Category/układ pokarmowy/błonniki;base;ACTIVLAB Green Fibre, naturalny błonnik, 300g;;;1;1;Taxable Goods;Catalog, Search;17.99;;;;4;ACTIVLAB Green Fibre, naturalny błonnik, 300g;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
5;http://static.aptekagemini.pl/media/products/0_/8_/8_/088466f30793bc4aa83af321c56433b7/images/thumbnail/large_1502259526apteka_internetowa_gemini_active_vital_60_kapsu-ek.jpg;http://static.aptekagemini.pl/media/products/0_/8_/8_/088466f30793bc4aa83af321c56433b7/images/thumbnail/large_1502259526apteka_internetowa_gemini_active_vital_60_kapsu-ek.jpg;;Default;simple;Default Category/witaminy i mikroelementy/dla dorosłych;base;Active Vital, 60 kapsułek;Preparat łączy w sobie działanie wielu wyjątkowych roślin. Produkt zawiera standaryzowany ekstrakt z morszczynu, spirulinę, suchy ekstrakt z pestek winogron, skrzyp polny oraz pokrzywę majową, które dostarczają organizmowi wielu cennych składników. Preparat zalecany jest przy zmęczeniu, dużym wysiłku intelektualnym oraz dla osób aktywnych fizycznie.;;1;1;Taxable Goods;Catalog, Search;28.49;;;;5;Active Vital, 60 kapsułek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
6;http://static.aptekagemini.pl/media/products/f_/2_/4_/f2455611c1872cd3a812ae33a1855ea4/images/thumbnail/large_apteka_internetowa_gemini_active_flex_60_kapsu-ek.jpg;http://static.aptekagemini.pl/media/products/f_/2_/4_/f2455611c1872cd3a812ae33a1855ea4/images/thumbnail/large_apteka_internetowa_gemini_active_flex_60_kapsu-ek.jpg;;Default;simple;mięśnie, kości, mięśnie, kości/regeneracja chrząstki stawowej;base;Active Flex, 60 kapsułek;Suplement diety Active Flex, to starannie dobrana kompozycja składników wspomagających prawidłowe funkcjonowanie chrząstki i wspierające ruchomość stawów. Produkt polecany jest dla osób dorosłych, w szczególności osób starszych i aktywnych fizycznie.;;1;1;Taxable Goods;Catalog, Search;47.99;;;;6;Active Flex, 60 kapsułek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
7;http://static.aptekagemini.pl/media/products/2_/5_/f_/25f4c58a9b9076537ab546f8a9221624/images/thumbnail/large_1493099970apteka_internetowa_gemini_activlab_l-carnitine_shot_o_smaku_owoc-w_le-nych_80ml.jpg;http://static.aptekagemini.pl/media/products/2_/5_/f_/25f4c58a9b9076537ab546f8a9221624/images/thumbnail/large_1493099970apteka_internetowa_gemini_activlab_l-carnitine_shot_o_smaku_owoc-w_le-nych_80ml.jpg;;Default;simple;Default Category/odchudzanie/wspomaganie odchudzania;base;ACTIVLAB L-Carnitine Shot, o smaku owoców leśnych, 80ml;L-carnitine shot to suplement diety, zawierający płynną L-karnitynę w wysokiej zawartości. L-karnityna we własnym zakresie wytwarzana jest w niewielkim stopniu, dlatego dodatkowe spożywanie jej niezbędne jest dla optymalizacji procesów energetycznych zachodzących w mięśniach. L-karnityna przyspiesza również procesy metabolizmu tłuszczów w organizmie.;;1;1;Taxable Goods;Catalog, Search;4.19;;;;7;ACTIVLAB L-Carnitine Shot, o smaku owoców leśnych, 80ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
8;http://static.aptekagemini.pl/media/products/0_/a_/9_/0a92288271efcba5763ac2d817cecd42/images/thumbnail/large_apteka_internetowa_gemini_activlab_l-carnitine_1000_30_kapsu-ek.jpg;http://static.aptekagemini.pl/media/products/0_/a_/9_/0a92288271efcba5763ac2d817cecd42/images/thumbnail/large_apteka_internetowa_gemini_activlab_l-carnitine_1000_30_kapsu-ek.jpg;;Default;simple;Default Category/odchudzanie/wspomaganie odchudzania;base;ACTIVLAB L-Carnitine 1000, 30 kapsułek;L-Carnitine 1000 Super to suplement diety dostarczający karnitynę w dużej ilości – 1000mg w dziennej porcji. L-karnityna jest związkiem naturalnie występującym w organizmie, przede wszystkim w mięśniach. Jedną z funkcji L-karnityny jest udział w transporcie kwasów tłuszczowych o długich łańcuchach do komórek.;;1;1;Taxable Goods;Catalog, Search;33.29;;;;8;ACTIVLAB L-Carnitine 1000, 30 kapsułek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
9;http://static.aptekagemini.pl/media/products/9_/e_/e_/9eef6288d55c670b83921b0bf4687bb7/images/thumbnail/large_1494353105apteka_internetowa_gemini_activlab_green_protein_breakfast_jab-ko_z_cynamonem_750g.jpg;http://static.aptekagemini.pl/media/products/9_/e_/e_/9eef6288d55c670b83921b0bf4687bb7/images/thumbnail/large_1494353105apteka_internetowa_gemini_activlab_green_protein_breakfast_jab-ko_z_cynamonem_750g.jpg;;Default;simple;Default Category/układ pokarmowy/błonniki;base;ACTIVLAB Green Protein Breakfast, jabłko z cynamonem, 750g;;;1;1;Taxable Goods;Catalog, Search;29.99;;;;9;ACTIVLAB Green Protein Breakfast, jabłko z cynamonem, 750g;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
10;http://static.aptekagemini.pl/media/products/a_/b_/b_/abb5e32ae31086cfadc43ed0e5a92439/images/thumbnail/large_1461267058apteka_internetowa_gemini_advanced_40_acidophilus_solgar_60_kapsulek.jpg;http://static.aptekagemini.pl/media/products/a_/b_/b_/abb5e32ae31086cfadc43ed0e5a92439/images/thumbnail/large_1461267058apteka_internetowa_gemini_advanced_40_acidophilus_solgar_60_kapsulek.jpg;;Default;simple;Default Category/układ pokarmowy/probiotyki;base;Advanced 40+ Acidophilus, Solgar, 60 kapsułek OKAZJA;;;1;1;Taxable Goods;Catalog, Search;52.99;;;;10;Advanced 40+ Acidophilus, Solgar, 60 kapsułek OKAZJA;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
11;http://static.aptekagemini.pl/media/products/6_/5_/a_/65a517970656b6d2ed83376a6119f9e1/images/thumbnail/large_1508391026apteka_internetowa_gemini_activlab_structuactiv_500_ko-ci_chrz-stki_60_kapsu-ek.jpg;http://static.aptekagemini.pl/media/products/6_/5_/a_/65a517970656b6d2ed83376a6119f9e1/images/thumbnail/large_1508391026apteka_internetowa_gemini_activlab_structuactiv_500_ko-ci_chrz-stki_60_kapsu-ek.jpg;;Default;simple;mięśnie, kości, mięśnie, kości/regeneracja chrząstki stawowej;base;ACTIVLAB StructuActiv 500, kości chrząstki, 60 kapsułek;Produkt zawierający wysoką dawkę (500 mg w jednej kapsułce) siarczanu chondroityny dla ochrony stawów. Kwaśny siarczan chondroityny jest jednym z podstawowych składników budowy kości i chrząstki. Nadaje chrząstce właściwości mechaniczne i elastyczne. Siarczan chondroityny hamuje aktywności enzymów litycznych w obrębie chrząstki i pobudza biosyntezę proteoglikanów budujących chrząstkę stawową.;;1;1;Taxable Goods;Catalog, Search;21.9;;;;11;ACTIVLAB StructuActiv 500, kości chrząstki, 60 kapsułek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
